City,Coordinates,Latitude,Longtitude,Newspaper
Aarhus,"56.147268756732615, 10.205290153103880",56.14726876,10.20529015,"Aarhusstiftstidende: 58 aviser, Morgenavisen Jyllandsposten: 77 aviser, Aarhus Amtstidende: 28 aviser"
Aalborg,"57.04895257125153, 9.922075325024587",57.04895257,9.922075325,Aalborgstiftstidende: 26 aviser
Ærøskøbing,"54.8895609,10.4062029",54.8895609,10.4062029,Ærø Avis: 4 aviser
Fredericia,"55.564684437673435, 9.742314187128240",55.56468444,9.742314187,Fredericia Dagblad 1890: 8 aviser
Frederikssund,"55.8372321,12.0557151",55.8372321,12.0557151,Isefjordsposten 1866: 23 aviser
Haderslev,"55.2514139,9.4903754",55.2514139,9.4903754,Dannevirke 1867: 13 aviser
Herning,"56.13775712910668, 8.944144516370896",56.13775713,8.944144516,Herning Folkeblad: 23 aviser
Hillerød,"55.927590723391944, 12.290088136713457",55.92759072,12.29008814,"Frederiksborg Amtstidende: 25 aviser, Frederiksborg Amtsavis: 38 aviser"
Hjørring,"57.4582672,9.9943059",57.4582672,9.9943059,Vendsysseltidende Hjørring: 12 aviser
Holstebro,"56.35578936016329, 8.63582934629478",56.35578936,8.635829346,"Holstebro Avis: 8 aviser, Holstebro Dagblad: 6 aviser"
Horsens,"55.858387519409305, 9.83806145682932",55.85838752,9.838061457,"Horsens Folkeblad 1866: 34 aviser, Horsens Avis 1828: 37 aviser"
Kalundborg,"55.675153,11.0990049",55.675153,11.0990049,Kalundborg Avis 1857: 235 aviser
København,"55.683215225870185, 12.530621517954796",55.68321523,12.53062152,"Berlingsketidende: 377 aviser, Morgenposten København 1844: 6 aviser, Dagbladet København 1851: 160 aviser, Folkets Avis 1860: 103 aviser, Dagens Nyheder 1868: 204 aviser, Dagstelegraphen: 141 aviser, Aktuelt: 8 aviser, Fædrelandet 1834: 88 aviser, Adresseavisen 1759: 121 aviser, Nationaltidende: 101 aviser, Morgenbladet 1873: 175 aviser"
Køge,"55.4583428,12.1704018",55.4583428,12.1704018,"Dagbladet Køge: 6 aviser, Østsjællands Avis: 21 aviser"
Kolding,"55.4932699,9.4612543",55.4932699,9.4612543,Kolding Folkeblad: 46 aviser
Korsør,"55.32147918745514, 11.16312396746518",55.32147919,11.16312397,Korsør Avis: 11 aviser
Lemvig,"56.54728756137409, 8.314696230548607",56.54728756,8.314696231,"Lemvig Avis: 5 aviser, Lemvig Folkeblad: 15 aviser"
Lyngby,"55.7804263,12.4674458",55.7804263,12.4674458,Kjøbenhavns Amtsavis: 6 aviser
Middelfart,"55.49568105753888, 9.743327772439094",55.49568106,9.743327772,Middelfart Avis 1857: 32 aviser
Næstved,"55.224977846370365, 11.740824474028493",55.22497785,11.74082447,Næstved Tidende: 24 aviser
Nykøbing Falster,"54.756798056589155, 11.883899380907827",54.75679806,11.88389938,"Lolland Falsters Folketidende: 16 aviser, Lolland Falsters Stiftstidende: 22 aviser"
Nykøbing Mors,"56.80448635077603, 8.850055197489243",56.80448635,8.850055197,Morsø Folkeblad: 7 aviser
Nykøbing Sjælland,"55.926868,11.6697653",55.926868,11.6697653,Nykjøbing Avis: 338 aviser
Odense,"55.3987151,10.3917375",55.3987151,10.3917375,Fyens Stiftstidende: 72 aviser
Randers,"56.456979204105366, 10.078621895529815",56.4569792,10.0786219,"Randers Amtsavis: 8 aviser, Randers Dagblad 1874: 2 aviser"
Ribe,"55.32695580084211, 8.800255754285562",55.3269558,8.800255754,Ribe Stifstidende: 18 aviser
Ringsted,"55.4464122,11.7862834",55.4464122,11.7862834,"Dagbladet Ringsted: 78 aviser, Sjællandsposten Ringsted: 90 aviser"
Rønne,"55.09733462615099, 14.699215823695320",55.09733463,14.69921582,"Bornholms Avis: 10 aviser, Bornholms Tidende: 4 aviser"
Roskilde,"55.6433605231269, 12.082647942969958",55.64336052,12.08264794,"Dagbladet Roskilde: 32 aviser, Roskilde Avis: 94 aviser"
Silkeborg,"56.1780784,9.5474927",56.1780784,9.5474927,Midtjyllands Avis 1857: 30 aviser
Skanderborg,"56.031656286799894, 9.905461407728316",56.03165629,9.905461408,Skanderborg Avis 1868: 7 aviser
Skive,"56.5647493,9.025535",56.5647493,9.025535,"Skive Avis: 12 aviser, Skive Folkeblad: 5 aviser"
Slagelse,"55.40543024777832, 11.354873948221180",55.40543025,11.35487395,"Sjællands Tidende Slagelse: 85 aviser, Sorø Amts Dagblad: 49 aviser"
Stubbekøbing,"54.8901334,12.0380956",54.8901334,12.0380956,Stubbekøbing Avis: 4 aviser
Svendborg,"55.075805494554565, 10.62401113076804",55.07580549,10.62401113,"Fyns Amts Avis Svendborg: 33 aviser, Svendborg Amtstidende: 33 aviser"
Tarm,"55.91189330148385, 8.502070633123944",55.9118933,8.502070633,Tarms Avis 1881: 1 aviser
Thisted,"56.96267857090542, 8.718948002055199",56.96267857,8.718948002,Thisted Amtsavis: 20 aviser
Vejle,"55.70815524595702, 9.541345613090484",55.70815525,9.541345613,Vejle Amts Folkeblad: 27 aviser
Viborg,"56.4518330036389, 9.399669854679761",56.451833,9.399669855,"Viborg Stiftstidende: 27 aviser, Viborg Stifts Folkeblad: 22 aviser"
